key,country,type
400974,South Africa,debit
401795,South Africa,debit
402167,Australia,debit
402645,South Africa,credit
403525,United Arab Emirates,debit
403822,Congo (Democratic Republic of the),debit
404307,Colombia,credit
404323,South Africa,credit
405201,South Africa,credit
405278,South Africa,credit
405769,South Africa,debit
408369,South Africa,debit
410374,South Africa,credit
410375,South Africa,credit
410586,South Africa,credit
410587,South Africa,debit
411689,South Africa,debit
411736,South Africa,debit
412752,Nigeria,debit
414564,South Africa,debit
418252,Ghana,debit
418745,South Africa,debit
419227,Nigeria,debit
421689,Nigeria,debit
422584,Sri Lanka,debit
422601,Nigeria,debit
422824,South Africa,debit
425668,South Africa,credit
426091,South Africa,debit
426374,Zambia,debit
427011,Zambia,debit
428090,South Africa,debit
428692,India,debit
431413,Côte d'Ivoire,debit
433830,South Africa,credit
433831,Argentina,credit
438375,Argentina,credit
445120,Zambia,debit
445121,South Africa,debit
445143,South Africa,debit
445145,South Africa,debit
445147,South Africa,debit
445538,South Africa,debit
448008,Cameroon,debit
448381,South Africa,credit
448385,South Africa,credit
448386,South Africa,debit
448387,South Africa,debit
450407,Australia,debit
450408,Colombia,credit
450418,Colombia,credit
450668,Colombia,credit
453101,Colombia,credit
453104,Mauritius,debit
453188,Mauritius,debit
454640,Zambia,debit
454858,Argentina,credit
455027,South Africa,debit
455788,South Africa,credit
456353,Peru,debit
456835,Netherlands,credit
457537,United Arab Emirates,debit
457896,Colombia,credit
459418,South Africa,credit
459419,Colombia,credit
459504,Colombia,credit
459918,Colombia,credit
463237,Colombia,credit
463631,India,debit
463632,South Africa,debit
464436,South Africa,debit
466057,United States of America,debit
468219,Argentina,credit
468588,Nigeria,debit
469854,Nigeria,debit
470651,South Africa,debit
470652,Nigeria,credit
470655,Nigeria,credit
470720,Nigeria,debit
470724,South Africa,debit
471232,South Africa,debit
471415,Nigeria,credit
472883,Nigeria,debit
473842,South Africa,credit
478769,South Africa,credit
479012,South Africa,credit
479026,South Africa,debit
479056,South Africa,credit
479081,South Africa,debit
479356,South Africa,credit
479359,Ghana,debit
484162,Ghana,debit
484842,South Africa,debit
485018,Nigeria,debit
485442,Mauritius,debit
486269,South Africa,debit
490107,India,credit
490115,South Africa,credit
490136,South Africa,credit
490137,South Africa,credit
490480,South Africa,credit
491050,Uganda,credit
491268,South Africa,debit
491511,Colombia,debit
492213,Colombia,debit
496009,South Africa,credit
506102,Nigeria,credit
512057,South Africa,credit
512846,South Africa,credit
512934,Panama,debit
514585,Nigeria,debit
517335,Nigeria,debit
517640,Kenya,debit
517989,Colombia,credit
517992,South Africa,credit
518103,South Africa,debit
519260,South Africa,debit
519612,South Africa,debit
519830,South Africa,debit
519899,Canada,debit
519908,Nigeria,debit
519911,Nigeria,debit
520652,Nigeria,debit
522100,Ukraine,credit
522126,South Africa,credit
522134,South Africa,credit
522175,South Africa,credit
522250,South Africa,credit
522262,South Africa,debit
522363,South Africa,debit
522901,South Africa,debit
523046,South Africa,debit
523909,United States of America,debit
523958,South Africa,credit
523982,South Africa,credit
524282,South Africa,credit
524289,Nigeria,debit
524708,Nigeria,debit
526205,Chile,credit
526397,South Africa,credit
526440,South Africa,credit
527418,South Africa,debit
527466,Mauritius,credit
528497,South Africa,credit
529751,South Africa,debit
530315,Nigeria,debit
530371,Costa Rica,credit
530695,Colombia,credit
530696,Colombia,debit
532196,Colombia,credit
532657,Morocco,credit
532732,South Africa,debit
532863,Nigeria,debit
533477,South Africa,credit
533892,Nigeria,debit
534403,South Africa,debit
535274,United States of America,debit
536058,Bosnia and Herzegovina,debit
536902,Dominican Republic,debit
537010,Nigeria,debit
539923,Nigeria,debit
539941,Nigeria,debit
539983,Nigeria,debit
540691,Nigeria,debit
541282,Colombia,credit
541283,South Africa,credit
543020,South Africa,credit
544042,South Africa,credit
546553,South Africa,credit
547119,Argentina,credit
547130,South Africa,credit
551898,Colombia,credit
552057,United States of America,debit
552065,South Africa,credit
552367,South Africa,credit
554629,South Africa,credit
555940,Mexico,credit
557661,Nigeria,debit
557755,United Arab Emirates,credit
557907,Thailand,credit
558294,Mexico,debit
559200,Russian Federation,credit
559432,South Africa,credit
559441,Nigeria,debit
650003,Nigeria,debit
